address,tx_count,unique_senders,unique_receivers,interacts_with_contract,first_block,last_block,final_label
0xdef05b512d405f4fb930e252c6c11f054832c93b,0,0,0,FALSE,,,
0x1d64ea27764164debb4e891eb04d524f42904b08,0,0,0,FALSE,,,
0x0669398307efefb60030ff328a0cb6a3a840182c,26,9,1,TRUE,0x6fd30f,0x73413b,
0xf91446ead6aadd4321602b5790a6db4d6f2a1930,1,1,1,TRUE,0x603125,0x603125,
0x5b67a30108e1a5f3d5a809d57e76cd16fdfde7a7,100,9,1,TRUE,0x3cae21,0x41424e,
0x4bc2055440dd519fa4d448d2d6899e6604aaedc5,5,4,1,TRUE,0x549623,0x76439a,
0x4423b4d5174dd6fca701c053bf48faeaaaee59f0,7,6,1,TRUE,0x3e440a,0x5f891c,
0x2a6d8021861f27ab992572d8689017b7a83c989d,100,95,1,TRUE,0x4c680c,0x4c6a19,
0xf8e676094628776690dbf83fa31f08aa14fd3fb8,3,3,1,TRUE,0x40d419,0x4480e3,
0x1bbeed1e4ad3c102a58129c65f4e04c4c67009af,16,13,1,TRUE,0x52ae25,0x6c4c27,
0xe6d3486a5fe2742e313a3266af8ff4f43e597d27,0,0,0,FALSE,,,
0xc25ab34e7f3a1eb2c6a3a23df851f351df0e712a,1,1,1,TRUE,0x52d29e,0x52d29e,
0x181c71726f12ce2514e8b93019eb22645a79f966,36,23,1,TRUE,0x4afa92,0xfec633,
0xd22167d083a5cfc2f1ccadeb842a8093b2174c5f,0,0,0,FALSE,,,
0x93574d7c405717d80520944ee1cb72d327b01df5,53,50,1,TRUE,0x4b55ef,0x4b8c73,
0x09cc69f6b484cada8e152d2002adfca496d723f3,0,0,0,FALSE,,,
0x07faacbe52a8b5d3d22f49206bdd9d9c1f71991d,1,1,1,TRUE,0x4e65c5,0x4e65c5,
0x1982b0e96a0375e5b570e8e466d423a37af34b43,0,0,0,FALSE,,,
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,96,39,1,TRUE,0x3cae15,0x9640cf,
0x474aa9c6f46dc6379c638690fd8f5ade22df5205,2,2,1,TRUE,0x3dbf85,0x3dc889,
0xaf8185ffff6a3508fc5498a5165bf64de0b0a1e5,50,22,1,TRUE,0x579b3f,0xed4f0e,
0xd585209338fdc9eaa15ec3a2b7ec589fc99b9c5d,100,94,1,TRUE,0x4e221b,0x4fe5b2,
0x069a6761e9897ced3f5d13f4aa9ad745e526c913,0,0,0,FALSE,,,
0xc593e92ed9fd3c2f9db972860047affd2df83ae7,0,0,0,FALSE,,,
0x3de08b35c0e7f255f37a5dace9bd8eb78e99e985,29,28,1,TRUE,0x41a923,0xed4f0e,
0xf17ba6d6ac0c9e691aa530482d616a4120134a17,7,7,1,TRUE,0x3eb4ed,0xb56c6f,
0xe051ee9bd6270ff52d85ffe09685ee3a9755f04a,0,0,0,FALSE,,,
0xeeb70fd96f6c8838aeffb9d8dc042eab97b1bb09,13,12,1,TRUE,0x524929,0x76439a,
0x91ef0754d270e67f2ca92595f5a1c0459ec7df89,0,0,0,FALSE,,,
0x434e9f6a1ac134fda3e7ceb3fd67c3d9b3518737,100,67,1,TRUE,0x4196e2,0x41cefc,